-76.929579473743573,38.888962286299915,1,Capitol View Neighborhood Library,5001 CENTRAL AVENUE SE,406109.69,135681.52,15509,38,INDOOR+OUTDOOR,2
-77.100529634250321,38.926809293507787,2,Key Elementary School,5001 DANA PLACE NW,391283.15,139885.29,294605,232,INDOOR,1
-76.930133457142219,38.900237857181644,3,MPD Merritt,5002 HAYES STREET NE,406060.67,136933.16,294606,275,OUTDOOR,1
-77.019593472619945,38.903990978207091,4,MPD Facility,501 NEW YORK AVENUE NW,398300.68,137347.65,238919,271,OUTDOOR,1
-77.006948584431456,38.906964269930292,5,Internal Affairs Division,51 N STREET NE,399397.51,137677.55,13663,219,INDOOR,1
-77.020908962548546,38.943878604382263,6,Center City PCS - Petworth Campus,510 WEBSTER STREET NW,398187.59,141775.54,303332,48,OUTDOOR,1
-76.926940424455594,38.879806791989829,7,Benning Park Community Center,5100 SOUTHERN AVENUE SE,406339.46,134665.37,296175,21,INDOOR,1
-77.02703457129914,38.952151993827655,8,Engine 24 Station,5101 GEORGIA AVENUE NW,397656.83,142694.1,251752,148,INDOOR+OUTDOOR,2
-77.104576451198483,38.924562849843298,9,Palisades Community Center,5200 SHERIER PLACE NW,390931.96,139636.31,268352,300,INDOOR,1
-77.07112557093987,38.957888776939207,10,Regency House Apartments,5201 CONNECTICUT AVENUE NW,393835.5,143332.99,264202,322,OUTDOOR,1
-76.925341788205571,38.894138480421056,11,DCHA - Richardson Dwellings,5231 CLOUD PLACE NE,406476.87,136256.41,148821,92,OUTDOOR,1
-76.933703178825397,38.897009267546522,12,Aiton Elementary School,533 48TH PLACE NE,405751.28,136574.53,294490,2,INDOOR,1
-76.999586604746767,38.955135595484613,13,Lamond-Riggs Neighborhood Library,5401 SOUTH DAKOTA AVENUE NE,400036.03,143024.96,288645,243,INDOOR+OUTDOOR,2
-77.006992152444852,38.87626345969587,14,Headquarter,55 M STREET SE,399393.47,134269.52,306664,200,INDOOR,1
-77.020851459412668,38.873882508712491,15,"Fire Boats 1, 2, and 3",550 WATER STREET SW,398190.8,134005.4,294491,174,INDOOR,1
-76.919929266276696,38.896001430487594,16,Drew Elementary School,5600 EADS STREET NE,406946.23,136463.61,277686,120,INDOOR+OUTDOOR,2
-77.075459027084378,38.965576951202834,17,Chevy Chase Neighborhood Library,5625 CONNECTICUT AVENUE NW,393460.61,144186.75,263960,56,INDOOR+OUTDOOR,2
-77.068039430942108,38.966635018803998,18,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,394103.71,144303.7,294611,241,INDOOR,1
-77.028341095876016,38.959988875747214,19,Engine 22 Station,5760 GEORGIA AVENUE NW,397543.85,143564.1,294612,146,INDOOR+OUTDOOR,2
-77.024725367898739,38.961372914285519,20,Paul PCS,5800 8TH STREET NW,397857.27,143717.65,294613,305,OUTDOOR,1
-77.067074318821497,38.967746833885158,21,Lafayette Recreation Center,5900 33RD STREET NW,394187.44,144427.06,308530,242,INDOOR,1
-77.027413273761624,38.963133248628118,22,Fourth District (4D),6001 GEORGIA AVENUE NW,397624.37,143913.13,243485,180,INDOOR,1
-77.028330834239412,38.963199420722049,23,Center City PCS - Brightwood Campus,6008 GEORGIA AVENUE NW,397544.85,143920.5,253198,45,OUTDOOR,1
-76.982906596905096,38.897383469566471,24,Miner Elementary School,601 15TH STREET NE,401483,136614.12,289548,266,INDOOR,1
-76.997181025752241,38.837745313083396,25,Hart Middle School,601 MISSISSIPPI AVENUE SE,400244.94,129993.71,5534,196,INDOOR,1
-76.997994186567425,38.900023252001155,26,DOES,609 H STREET NE,400174.19,136907.02,288773,105,INDOOR,1
-76.996890111156418,38.842263314708994,27,Congress Heights Recreation Center,611 ALABAMA AVENUE SE,400270.18,130495.24,307835,68,INDOOR,1
-77.022135735696693,38.932346767349394,28,Park Morton Apartments,617 MORTON STREET NW,398080.93,140495.43,285318,302,OUTDOOR,1
-77.013967802452214,38.965508401339136,29,National Childrens Center,6200 2ND STREET NW,398789.69,144176.53,245006,283,OUTDOOR,1
-77.01924089573717,38.96586473944469,30,Whittier Education Campus,6201 5TH STREET NW,398332.71,144216.17,294614,398,INDOOR,1
-76.912313015453776,38.891777790641335,31,Watts Branch Recreation Center,6201 BANKS PLACE NE,407607.38,135995.36,288795,394,INDOOR,1
-76.997390342115878,38.89995189386984,32,DOES,625 H STREET NE,400226.57,136899.1,288803,106,INDOOR,1
-77.019580645490677,38.967292039776865,33,Coolidge High School,6315 5TH STREET NW,398303.3,144374.62,294615,71,INDOOR,1
-77.006965864442563,38.909181673565236,34,DOES II,64 NEW YORK AVENUE NE,399396.03,137923.7,289616,109,INDOOR,1
-76.993019105580359,38.898553076310471,35,Sherwood Recreation Center,640 10TH STREET NE,400605.76,136743.84,301075,340,INDOOR,1
-76.952113179785854,38.901286426907788,36,Thomas Elementary School,650 ANACOSTIA AVENUE NE,404154.01,137048.33,294493,361,INDOOR,1
-77.033177152712497,38.897911051141875,37,DC Net Central Office,655 15TH STREET NW,397122.2,136673.07,279876,82,INDOOR,1
-76.99649477618172,38.898751596381906,38,Ludlow-Taylor Elementary School,659 G STREET NE,400304.26,136765.86,294494,249,INDOOR,1
-76.996591304365921,38.902765453788696,39,J.O. Wilson Elementary School,660 K STREET NE,400295.87,137211.43,288841,220,INDOOR,1
-76.99571533476572,38.937718904577068,40,DCHA - Warehouse,675 TAYLOR STREET NE,400371.67,141091.56,288846,95,OUTDOOR,1
-77.021352606605319,38.935010668741278,41,Parkview Community Center,693 OTIS PLACE NW,398148.9,140791.13,295160,304,INDOOR,1
-76.996011338053833,38.924746500317987,42,D.C. Preparatory PCS - Edgewood Middle,701 EDGEWOOD STREET NE,400346.07,139651.51,289579,74,OUTDOOR,1
-77.0227972230375,38.975050343016541,43,Takoma Education Campus,7010 PINEY BRANCH ROAD NW,398024.76,145235.93,250934,354,INDOOR,1
-76.971899905845831,38.901999477082846,44,"Phelps Architecture, Construction, and Engineering High School",704 26TH STREET NE,402437.64,137126.77,294495,310,INDOOR,1
-76.995855716972883,38.923652254220116,45,William E. Doar Jr. PCS for the Performing Arts,705 EDGEWOOD STREET NE,400359.57,139530.04,289576,399,OUTDOOR,1
-76.995737360687954,38.924284453921793,46,D.C. Preparatory Academy PCS - Edgewood Elementary Campus,707 EDGEWOOD STREET NE,400369.83,139600.22,289577,73,OUTDOOR,1
-76.990642651776156,38.880702180774811,47,Cesar Chavez,709 12TH STREET SE,400812.11,134762.27,76726,51,OUTDOOR,1
-77.011434035260919,38.908925484644641,48,Others,71 O STREET NW,399008.49,137895.3,236922,297,OUTDOOR,1
-77.022667815581471,38.907451971177217,49,Center City PCS - Shaw Campus,711 N STREET NW,398034.11,137731.91,290191,49,OUTDOOR,1
-77.031560811126766,38.898906743019424,50,DHS / Inspector General / Contract Appeals Board,717 14TH STREET NW,397262.45,136783.55,279904,103,INDOOR,1
-76.995049171031056,38.838853011830999,51,Public Wi-Fi,720 MISSISSIPPI AVENUE SE,400430.02,130116.68,77659,316,INDOOR,1
-77.027037745680673,38.980288354068108,52,Juanita E. Thornton - Shepherd Park Library,7420 GEORGIA AVENUE NW,397657.48,145817.5,253522,228,INDOOR+OUTDOOR,2
-77.0239792607167,38.92384021287527,53,Benjamin Banneker High School,800 EUCLID STREET NW,397920.84,139551.17,294496,20,INDOOR,1
-77.025073870550145,38.953976155311054,54,Truesdell Education Campus,800 INGRAHAM STREET NW,397826.84,142896.55,294497,368,INDOOR,1
-76.978226310802214,38.900817129071406,55,Community of Hope,801 17TH STREET NE,401888.91,136995.37,288960,65,OUTDOOR,1
-77.022912949810475,38.879878381785296,56,Jefferson Middle School,801 7TH STREET SW,398012.08,134671.03,276812,224,INDOOR,1
-76.924461439851186,38.900573222055257,57,Burrville Elementary School,801 DIVISION AVENUE NE,406552.65,136970.78,289787,33,INDOOR,1
-77.008608027566623,38.900510394250986,58,CCDC - North Capitol St NE,801 NORTH CAPITOL STREET NE,399253.51,136961.13,79625,44,INDOOR,1
-77.024005801321096,38.94101715675945,59,Petworth Recreation Center,801 TAYLOR STREET NW,397919.04,141457.96,296169,309,INDOOR,1
-77.007027971930128,38.900612925064003,60,Financial Operations and Systems / OSSE,810 1ST STREET NE,399390.57,136972.5,79999,173,INDOOR,1
-76.992483999665126,38.829393180448008,61,Apartments,820 CHESAPEAKE STREET SE,400652.81,129066.59,278623,7,OUTDOOR,1
-77.008448306733214,38.901026134471344,62,DOH / OMCH / OEH,825 NORTH CAPITOL STREET NE,399267.37,137018.38,289003,110,INDOOR,1
-76.991334732110374,38.829446611092322,63,Chesapeake House,840 CHESAPEAKE STREET SE,400752.6,129072.53,81323,54,OUTDOOR,1
-76.97066933279865,38.902606337901908,64,Browne Education Campus,850 26TH STREET NE,402544.36,137194.17,294501,29,INDOOR,1
-77.01242853400872,38.879542423823999,65,UHC - Southwest,850 DELAWARE AVENUE SW,398921.79,134633.56,276851,379,OUTDOOR,1
-77.015834068539846,38.878705402196999,66,Southwest Neighborhood Library,900 WESLEY PLACE SW,398626.28,134540.69,295165,347,INDOOR+OUTDOOR,2
-77.024768545489493,38.898699116427295,67,Martin Luther King Jr. Memorial Library,901 G STREET NW,397851.64,136760.32,239815,258,INDOOR,1
-77.026260691037137,38.952143522291472,68,FEMS - Office,915 GALLATIN STREET NW,397723.91,142693.14,298231,168,OUTDOOR,1
-76.993185317155067,38.897572435677702,69,Prospect Learning Center,920 F STREET NE,400591.35,136634.98,289072,315,INDOOR,1
-77.012869745439659,38.962172321319741,70,Capital City PCS / Capital City PCS - Middle,100 PEABODY STREET NW,398884.8,143806.18,277545,36,OUTDOOR,2
-76.988503051063404,38.90412519953248,71,Joseph H. Cole Recreation Center /  Wheatley Education Campus,1299 NEAL STREET NE,400997.43,137362.43,294512,227,INDOOR,2
-76.940487210402338,38.908236523752528,72,Kenilworth Elementary School / Kenilworth-Parkside Recreation Center,1300 44TH STREET NE,405161.97,137820.44,294516,230,INDOOR,2
-76.93215784256401,38.908452418628208,73,Deanwood Recreation Center / Deanwood Neighborhood Library,1350 49TH STREET NE,405884.39,137844.91,307551,101,INDOOR,2
-76.981138290285529,38.908081431035889,74,KIPP DC: Connect Academy PCS / KIPP DC - Spring Academy PCS,1375 MOUNT OLIVET ROAD NE,401636.15,137801.71,286108,236,OUTDOOR,2
-76.993998873392542,38.909443780090037,75,Hamilton Center / C.H.O.I.C.E. Academy Middle / High School,1401 BRENTWOOD PARKWAY NE,400520.69,137952.79,294521,192,INDOOR,2
-77.017171522310974,38.815042284516153,76,Shepherd Parkway Bus Facility,2 DC VILLAGE LANE SW,398508.9,127473.66,299538,339,OUTDOOR,1
-76.976479898891313,38.918956263228971,77,Adams Pl Bus Lot (OCD) / DCPS Warehouse,2000 ADAMS PLACE NE,402039.88,139009,286574,1,INDOOR+OUTDOOR,3
-77.021622977206206,38.920616143072678,78,Howard University ILAB / Howard University ISAS,2301 GEORGIA AVENUE NW,398125.08,139193.22,229522,214,OUTDOOR,2
-76.970989639443857,38.899101985911557,79,Spingarn High School / Spingarn STAY High School,2500 BENNING ROAD NE,402516.7,136805.15,294545,348,INDOOR,2
-76.957635968704835,38.927313738129669,80,Thurgood Marshall Recreation Center / Marshall Elementary School,3100 FORT LINCOLN DRIVE NE,403673.61,139937.34,294553,364,INDOOR,2
-76.994102835308922,38.841526676396469,81,Somerset Preparatory Academy PCS / M.C. Terrell / McGogney Elementary School,3301 WHEELER ROAD SE,400512.16,130413.48,294563,344,INDOOR,2
-77.000977543496603,38.83939010653733,82,Ballou High School / Ballou STAY High School,3401 4TH STREET SE,399915.33,130176.29,294567,13,INDOOR+OUTDOOR,3
-76.995165715758318,38.832351341953277,83,Ferebee-Hope Elementary School / Ferebee-Hope Recreation Center,3999 8TH STREET SE,400419.94,129394.95,294588,171,INDOOR,2
-77.079076105794798,38.923052102589779,84,Stoddert Elementary School / Stoddert Recreation Center,4001 CALVERT STREET NW,393143.05,139466.38,224730,351,INDOOR,2
-77.018127587236819,38.879522850651632,85,Amidon Elementary School / AppleTree Early Learning PCS,401 I STREET SW,398427.29,134631.47,294482,3,INDOOR,2
-76.989999048725267,38.883474459102203,86,Watkins Elementary School / Watkins Recreation Center,420 12TH STREET SE,400867.92,135070.02,294486,393,INDOOR,2
-76.999860269867042,38.892903777306003,87,Peabody Elementary School / School-Within-School @ Peabody,425 C STREET NE,400012.32,136116.7,288145,307,INDOOR,2
-77.029199146841535,38.943036894652749,88,CCDC - 13th Street / Hospitality High School (Roosevelt High School),4301 13TH STREET NW,397468.88,141682.3,252605,41,INDOOR,2
-76.999884831417219,38.959979609350107,89,LaSalle-Backus Education Campus / Riggs LaSalle Recreation Center,501 RIGGS ROAD NE,400010.18,143562.69,294489,247,INDOOR,2
-76.920637522764011,38.890298891949428,90,Maya Angelou PCS / Young Adult Learning Center PCS,5600 EAST CAPITOL STREET NE,406885.34,135830.53,289793,263,OUTDOOR,2
-77.026434953982346,38.935818665270325,91,Raymond Recreation Center &  Education Campus / Fillmore Arts Center (East),915 SPRING ROAD NW,397708.28,140880.94,226682,320,INDOOR,3
-77.064326579260978,38.944441376958849,92,UDC / CCDC / UDC - Institute of Gerontology - BODYWISE Program,4200 CONNECTICUT AVENUE NW,394423.74,141839.77,297694,374,INDOOR,3
-77.01811962654844,38.909893846842301,93,KIPP DC: Grow Academy PCS /  PCS - Lead Academy /  WILL Academy,421 P STREET NW,398428.65,138002.89,294487,237,INDOOR,3
-77.003089119084578,38.823911366299264,94,CCDC - Livingston Rd SE / Ingenuity Prep PCS / NCP PC High School,4600 LIVINGSTON ROAD SE,399731.95,128458.05,294600,43,INDOOR,3
-76.934396532426916,38.882634988796802,95,KIPP DC: Promise Academy PCS / KEY Academy PCS / LEAP Academy PCS,4801 BENNING ROAD SE,405692.28,134978.83,17421,238,OUTDOOR,3
-77.075110929950156,38.965166218868454,96,Chevy Chase Community Center / Transition Academy @ Shadd / DC Scholars PCS,5601 CONNECTICUT AVENUE NW,393490.74,144141.13,263959,55,INDOOR,3
-76.944823748365508,38.891029256528704,97,D.C. Preparatory Academy PCS - Benning Elementary Campus,100 41ST STREET NE,404787,135910.06,294468,72,OUTDOOR,1
-76.942887582864429,38.89249128608558,98,Sixth District (6D),100 42ND STREET NE,404954.87,136072.46,294469,342,OUTDOOR,1
-77.007227253746208,38.952520902644189,99,Mamie D. Lee School,100 GALLATIN STREET NE,399373.74,142734.73,294470,254,INDOOR,1
-77.010164011936808,38.818897655965777,100,Bald Eagle Recreation Center,100 JOLIET STREET SW,399117.53,127901.54,301277,12,INDOOR,1
-76.948246584361144,38.888848273358157,101,Benning Stoddert Community Center,100 STODDERT PLACE SE,404490.19,135667.78,295821,22,INDOOR,1
-76.988588119087183,38.912147050914335,102,Youth Services Center,1000 MOUNT OLIVET ROAD NE,400989.94,138252.92,290013,405,INDOOR+OUTDOOR,2
-76.992043942505148,38.881091807426309,103,Tyler Elementary School,1001 G STREET SE,400690.52,134805.51,294505,372,INDOOR,1
-76.992086087192462,38.931319757315293,104,Behavioral Health Services,1001 LAWRENCE STREET NE,400686.38,140381.22,289589,19,OUTDOOR,1
-76.992318609193646,38.932283841906624,105,Luke C. Moore High School,1001 MONROE STREET NE,400666.21,140488.24,294504,250,INDOOR,1
-77.005149704935235,38.830902767241561,106,Engine 33 Station,101 ATLANTIC STREET SE,399553.06,129234.15,294471,157,INDOOR+OUTDOOR,2
-77.012693764207285,38.907634008020032,107,Dunbar High School,101 N STREET NW,398899.21,137751.95,309947,121,INDOOR,1
-77.005888911030297,38.915176242899868,108,Langley Education Campus,101 T STREET NE,399489.48,138589.14,285757,246,INDOOR,1
-77.030017913126173,38.903318452998462,109,Engine 16 Station,1018 13TH STREET NW,397396.45,137273.24,240645,139,INDOOR,1
-77.034998462565227,38.904067823358943,110,OCTO OAG,1100 15TH STREET NW,396964.47,137356.58,278811,291,INDOOR,1
-77.017161805343676,38.877621504691085,111,Waterfront East Tower,1100 4TH STREET SW,398511.05,134420.39,307170,392,INDOOR,1
-76.929949908610396,38.905422778177638,112,Houston Elementary School,1100 50TH PLACE NE,406076.15,137508.74,156316,211,INDOOR,1
-76.992602307530277,38.938071784232463,113,Turkey Thicket Recreation Center,1100 MICHIGAN AVENUE NE,400641.56,141130.75,74603,370,INDOOR,1
-77.051100207063797,38.90402693754266,114,West End Neighborhood Library,1101 24TH STREET NW,395567.82,137352.7,218248,396,INDOOR+OUTDOOR,2
-77.011232070623436,38.876936416420371,115,Engine 7 Station,1101 HALF STREET SW,399025.57,134344.26,277735,161,INDOOR+OUTDOOR,2
-77.013917980472968,38.904199434835839,116,Walker-Jones Education Campus,1125 NEW JERSEY AVENUE NW,398792.97,137370.7,307735,389,INDOOR,1
-77.028603161719374,38.936227852270207,117,DMH Facility,1125 SPRING ROAD NW,397520.31,140926.42,283920,104,INDOOR,1
-77.008246568099835,38.905080449315825,118,DCHA - Central Headquarters,1133 NORTH CAPITOL STREET NE,399284.91,137468.44,149791,85,OUTDOOR,1
-77.02741069165684,38.905421733665499,119,Office of Aging,1134 11TH STREET NW,397622.67,137506.65,239118,294,INDOOR,1
-77.009489517617922,38.905127558713772,120,DCHA - Sibley,1140 NORTH CAPITOL STREET NW,399177.1,137473.68,285576,93,OUTDOOR,1
-77.009367186108307,38.831333289666368,121,William O. Lockridge / Bellevue Neighborhood Library,115 ATLANTIC STREET SW,399186.87,129281.97,302935,400,INDOOR+OUTDOOR,2
-77.028301803438879,38.905206311651646,122,Horizon House Apartments,1150 12TH STREET NW,397545.37,137482.76,278887,209,OUTDOOR,1
-76.999246278351137,38.876803900310527,123,Van Ness Elementary School,1150 5TH STREET SE,400065.6,134329.49,294508,387,INDOOR,1
-76.939077608639195,38.905673551996422,124,DCHA - Fleet Management,1155 KENILWORTH AVENUE NE,405284.42,137536.01,309171,86,OUTDOOR,1
-77.00635797511066,38.906094997825349,125,DCPS HQ / DDOE,1200 1ST STREET NE,399448.73,137581.05,302635,98,INDOOR,1
-77.013260307224272,38.875939784839723,126,Greenleaf Senior Center,1200 DELAWARE AVENUE SW,398849.56,134233.65,72281,189,OUTDOOR,1
-77.028432325197457,38.90350379119716,127,Thomson Elementary School,1200 L STREET NW,397533.99,137293.77,240922,362,INDOOR,1
-77.028614849454527,38.91390874725564,128,Garrison Elementary School,1200 S STREET NW,397518.52,138448.81,294509,186,INDOOR,1
-76.989936470662499,38.92021530886813,129,UHC - Brentwood Square,1201 BRENTWOOD ROAD NE,400872.9,139148.55,149821,376,OUTDOOR,1
-77.001614645475769,38.906346853053797,130,MPD Narcotics & Special Invest (NSID),1215 3RD STREET NE,399860.15,137608.99,71435,276,OUTDOOR,1
-76.991204463640585,38.905306609295955,131,Center City PCS - Trinidad Campus,1217 WEST VIRGINIA AVENUE NE,400763.1,137493.55,285938,50,OUTDOOR,1
